,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
H10,-0.2646196043087042,0.38419301355415797,-0.27855924582993513,0.15941581908351232,0.5902778329162446,-0.2684275126760161,0.2324445835581153,0.0790468993809392,-0.40025984559356215,-0.04663580099837033,-0.011649731127464239,0.03205464425044445,0.004758383162330306,0.00019378353169151186,-0.032391572972251835,0.01980649804837507,0.046282728630914184,-0.02935499535100365,-0.03465455890668923,0.013786040231135114
H11,-0.36590456446802744,-0.06646717800260436,0.6980005031836883,0.25831368295262436,0.2475727519446146,0.1812479806624107,0.027746763536221384,0.316100885625205,-0.014510764411337309,-0.0357842598571937,-0.006586101672498687,0.030983827933765466,-0.02351051217285553,0.0652810220163097,-0.09340836712823761,0.004524170857864821,0.166919897001926,-0.08846592531026433,0.08458353304792202,-0.005115377507773836
H12,0.2357541707013426,-0.36683224117770646,0.2821667042780784,-0.1507836751430801,-0.5794101433279806,0.27981043735043765,-0.23529253009247583,-0.09071887673416576,0.4233208993497571,0.054549984097400826,0.006108566348917402,-0.043923356913590804,-0.0020520755923171484,0.02228197449717191,0.0402712327661562,-0.010092025056970351,-0.045394043247847196,0.03723621104269485,0.04172389444429191,-0.017257025242590505
V1,0.2696804089086303,-0.13656754471765142,-0.41166477619676806,0.16142265322656285,0.3693470663555462,0.5857330946727718,0.03662080671078875,-0.1717891332590578,0.12963514909036458,-0.22188711969062863,-0.08867183286831198,-0.14220598373934146,-0.0134675676444258,-0.044948412643881774,-0.17591595253715955,-0.05702565664547255,0.08593996616496931,-0.02579550357302041,-0.009207740455407095,0.14537986998079386
V2,-0.1739553148840741,0.23489441375716208,0.46417434513116984,-0.023938985885666626,-0.0621762829345641,-0.5545616426239651,-0.3144027839512932,-0.17206640156568836,-0.11169573156903373,-0.22187267527941362,-0.09001971818740256,0.11097360737484879,-0.01820979874241972,-0.019599232908950655,0.029725564988005156,0.11118166985103493,-0.21705802181142267,-0.015739658941080637,-0.08977490597201859,-0.16613753323322117
V3,-0.3121830134512513,-0.12220845557149253,0.05596196425295596,0.0528148567885978,0.18242207958313428,0.2807419336774985,0.5425230434965552,-0.0705619549765456,0.05543501393354689,0.21996620463665617,0.03105551908902432,0.2146384949295956,0.0822134204052111,0.3010494609590653,0.33948766546110765,-0.19366511739861733,-0.1128596210724059,0.10548463889803532,0.12373826885710609,-0.0815971686328814
V4,-0.22404428612370778,-0.24503299421963293,-0.3220352551284611,-0.17374226769831277,-0.5260801005359358,-0.07629568575819717,-0.04818755318367693,0.444736631229425,-0.11586500054188895,0.061887853516251916,0.11202221616007635,0.0416220190902593,-0.06233626300074184,-0.10955298409553925,0.061421406577619346,-0.12955179653965526,0.0860806146878684,-0.01646711010242147,0.10350781308258844,-0.17964748132857516
V5,0.5299823255767396,0.1237298302012767,0.31497318605720903,-0.09557202251762015,-0.17903662894487019,-0.279879677119808,0.2551293093665817,-0.11721931062596565,-0.043454045815313126,0.13957863575242113,0.02831355571772059,-0.03315842957581259,0.061396496768655745,0.07316760482762677,-0.08208880844328856,-0.03644420021415952,0.23767964643081016,0.14910999361992183,-0.24063344739540524,0.11644153126163391
V6,-0.0813591926190292,-0.03904399296851105,-0.409694863196416,-0.1964044916936118,-0.32049454687427686,0.06455907863012797,-0.10486807611044363,0.3705559333923073,-0.31364823768987876,0.1190620549082833,-0.0053064053080763545,-0.010367493882635795,-0.05765174507718545,0.036096422294095064,0.0010412401265417846,0.11954594503226738,0.4349640098585607,-0.06878646739108792,-0.07772743520947986,-0.0035419876770348816
V7,-0.44497226691870045,0.1886184166666344,0.28132888209169427,0.13626870365976487,0.24631882197243193,-0.1903521603521539,-0.41938323508495384,-0.02237462172562021,0.20411811267213228,0.25206922993604,-0.060727151906432526,-0.07343466256872638,0.03375281819126297,0.19179902037064112,0.03643992491880911,0.315327950872778,0.002179225347213172,-0.005162452385770317,0.10950869900664961,0.0538528212894912
